20150505     74533   23.7540   114.6260      2.000   0.6    0.00    0.00   0.00         71
20150505     74587   23.7540   114.6280      2.000   0.7    0.00    0.00   0.00         72
20150505    143678   23.7540   114.6300      2.000   0.0    0.00    0.00   0.00         73
20150505    185615   23.7550   114.6290      2.000   0.0    0.00    0.00   0.00         74
20150505    370217   23.7550   114.6280      2.000   0.3    0.00    0.00   0.00         75
20150505   1315741   23.7550   114.6280      2.000   0.6    0.00    0.00   0.00         76
20150505   1353934   23.7550   114.6280      2.000   0.0    0.00    0.00   0.00         77
20150505   3562409   23.9120   114.4950      2.000   0.4    0.00    0.00   0.00         78
20150505   3563403   23.9080   114.5040      2.000   0.6    0.00    0.00   0.00         79
20150505   4342574   23.7550   114.6280      2.000   0.9    0.00    0.00   0.00         80
20150505   5353100   23.7560   114.6270      2.000   0.1    0.00    0.00   0.00         81
20150505  10240700   23.9160   114.4750      2.000   0.7    0.00    0.00   0.00         82
20150505  10250550   23.7550   114.6270      2.000   0.6    0.00    0.00   0.00         83
20150505  12170252   23.7540   114.6270      2.000   0.2    0.00    0.00   0.00         84
20150505  12195684   23.7550   114.6270      2.000   0.1    0.00    0.00   0.00         85
20150505  12211306   23.7560   114.6240      2.000   0.4    0.00    0.00   0.00         86
20150505  12244379   23.7550   114.6250      2.000   0.3    0.00    0.00   0.00         87
20150505  12324778   23.7540   114.6260      2.000   0.1    0.00    0.00   0.00         88
20150505  12405428   23.7550   114.6260      2.000   0.2    0.00    0.00   0.00         89
20150505  12504396   23.7550   114.6270      2.000   0.5    0.00    0.00   0.00         90
20150505  12554152   23.7540   114.6290      2.000   0.5    0.00    0.00   0.00         91
20150505  19000076   23.7550   114.6270      2.000   0.9    0.00    0.00   0.00         92
20150505  19074940   23.7550   114.6270      2.000   1.0    0.00    0.00   0.00         93
20150505  20404958   23.9120   114.4930      2.000   0.5    0.00    0.00   0.00         94
20150505  22222688   23.7550   114.6290      2.000   0.3    0.00    0.00   0.00         95
20150506    294880   23.9160   114.4850      2.000   0.2    0.00    0.00   0.00         96
20150506   3334138   23.7160   114.6870      2.000   0.5    0.00    0.00   0.00         97
20150506  10590651   23.7550   114.6280      2.000   0.5    0.00    0.00   0.00         98
20150506  10591612   23.7540   114.6290      2.000   0.4    0.00    0.00   0.00         99
20150506  12194578   23.7530   114.6290      2.000   0.7    0.00    0.00   0.00        100
